날짜,대출평균,가계대출,주택담보대출,보증대출
20180119,3.6,3.71,3.47,3.62
20180219,3.553333333,3.65,3.46,3.55
20180319,3.573333333,3.69,3.45,3.58
20180419,3.583333333,3.69,3.47,3.59
20180519,3.626666667,3.75,3.49,3.64
20180619,3.596666667,3.72,3.46,3.61
20180719,3.606666667,3.73,3.44,3.65
20180819,3.533333333,3.66,3.36,3.58
20180919,3.49,3.62,3.29,3.56
20181019,3.506666667,3.64,3.31,3.57
20181119,3.493333333,3.63,3.28,3.57
20181219,3.46,3.61,3.19,3.58
20190119,3.433333333,3.58,3.12,3.6
20190219,3.356666667,3.5,3.08,3.49
20190319,3.35,3.53,3.04,3.48
20190419,3.296666667,3.48,2.98,3.43
20190519,3.283333333,3.49,2.93,3.43
20190619,3.063333333,3.25,2.74,3.2
20190719,2.956666667,3.12,2.64,3.11
20190819,2.78,2.92,2.47,2.95
20190919,2.91,3.02,2.51,3.2
20191019,2.92,3.01,2.5,3.25
20191119,2.863333333,2.96,2.45,3.18
20191219,2.89,2.98,2.45,3.24
20200119,2.863333333,2.95,2.51,3.13
20200219,2.813333333,2.9,2.52,3.02
20200319,2.783333333,2.88,2.48,2.99
20200419,2.8,2.89,2.58,2.93
20200519,2.72,2.81,2.52,2.83
20200619,2.606666667,2.67,2.49,2.66
20200719,2.55,2.62,2.45,2.58
20200819,2.476666667,2.55,2.39,2.49
20200919,2.516666667,2.59,2.44,2.52
20201019,2.54,2.64,2.47,2.51
20201119,2.646666667,2.72,2.56,2.66
20201219,2.69,2.79,2.59,2.69
20210119,2.72,2.83,2.63,2.7
20210219,2.703333333,2.81,2.66,2.64
20210319,2.76,2.88,2.73,2.67
20210419,2.79,2.91,2.73,2.73
20210519,2.75,2.89,2.69,2.67
20210619,2.77,2.92,2.74,2.65
20210719,2.85,2.98,2.81,2.76
20210819,2.943333333,3.1,2.88,2.85
20210919,3.036666667,3.18,3.01,2.92
20211019,3.27,3.46,3.26,3.09
20211119,3.46,3.61,3.51,3.26
20211219,3.526666667,3.66,3.63,3.29
20220119,3.746666667,3.91,3.85,3.48
20220219,3.786666667,3.93,3.88,3.55
20220319,3.786666667,3.98,3.84,3.54
20220419,3.836666667,4.05,3.9,3.56
20220519,3.936666667,4.14,3.9,3.77
20220619,4.03,4.23,4.04,3.82
20220719,4.236666667,4.53,4.16,4.02
20220819,4.52,4.76,4.35,4.45
20220919,4.92,5.15,4.79,4.82
20221019,5.086666667,5.34,4.82,5.1
